file,city,date,year,month,srl_count,sa_count,mono_mides_count,unipersonal_count,sociedad_de_hecho_count,total
montevideo-diciembre-2017.csv,Montevideo,2017-12,2017,diciembre,montevideo-diciembre-2017.csv,-1,-1,-1,-1,94
102018_datos-abiertos-montevideo.csv,Montevideo,2018-10,2018,octubre,102018_datos-abiertos-montevideo.csv,-1,-1,-1,-1,45
072018_datos-abiertos-maldonado.csv,Maldonado,2018-07,2018,julio,072018_datos-abiertos-maldonado.csv,-1,-1,-1,-1,24
salto-enero.csv,Salto,2018-01,2018,enero,salto-enero.csv,-1,-1,-1,-1,17
montevideo-julio-2017.csv,Montevideo,2017-07,2017,julio,montevideo-julio-2017.csv,-1,-1,-1,-1,186
102018_datos-abiertos-salto.csv,Salto,2018-10,2018,octubre,102018_datos-abiertos-salto.csv,-1,-1,-1,-1,27
inscripciones-marzo-2018-montevideo.csv,Montevideo,2018-03,2018,marzo,inscripciones-marzo-2018-montevideo.csv,-1,-1,-1,-1,62
032019_datos-abiertos-salto.csv,Salto,2019-03,2019,marzo,032019_datos-abiertos-salto.csv,-1,-1,-1,-1,12
montevideo-agosto-2017.csv,Montevideo,2017-08,2017,agosto,montevideo-agosto-2017.csv,-1,-1,-1,-1,194
032019_datos-abiertos-montevideo.csv,Montevideo,2019-03,2019,marzo,032019_datos-abiertos-montevideo.csv,-1,-1,-1,-1,26
salto-mayo-.csv,Salto,2018-05,2018,mayo,salto-mayo-.csv,-1,-1,-1,-1,26
062019_datos-abiertos-maldonado.csv,Maldonado,2019-06,2019,junio,062019_datos-abiertos-maldonado.csv,-1,-1,-1,-1,1
112018_datos-abiertos-montevideo.csv,Montevideo,2018-11,2018,noviembre,112018_datos-abiertos-montevideo.csv,-1,-1,-1,-1,25
012019_datos-abiertos-montevideo.csv,Montevideo,2019-01,2019,enero,012019_datos-abiertos-montevideo.csv,-1,-1,-1,-1,31
062018_datos-abiertos-salto.csv,Salto,2018-06,2018,junio,062018_datos-abiertos-salto.csv,-1,-1,-1,-1,20
082018_datos-abiertos-salto.csv,Salto,2018-08,2018,agosto,082018_datos-abiertos-salto.csv,-1,-1,-1,-1,35
salto-octubre-2017.csv,Salto,2017-10,2017,octubre,salto-octubre-2017.csv,-1,-1,-1,-1,37
inscripciones-marzo-2018-salto.csv,Salto,2018-03,2018,marzo,inscripciones-marzo-2018-salto.csv,-1,-1,-1,-1,25
mdeo-abril-.csv,Montevideo,2018-04,2018,abril,mdeo-abril-.csv,-1,-1,-1,-1,108
datos-abiertos-salto-febrero-18.csv,Salto,2018-02,2018,febrero,datos-abiertos-salto-febrero-18.csv,-1,-1,-1,-1,11
082018_datos-abiertos-maldonado.csv,Maldonado,2018-08,2018,agosto,082018_datos-abiertos-maldonado.csv,-1,-1,-1,-1,33
022019_datos-abiertos-maldonado.csv,Maldonado,2019-02,2019,febrero,022019_datos-abiertos-maldonado.csv,-1,-1,-1,-1,22
diciembre-2019.csv,Montevideo,2019-12,2019,diciembre,diciembre-2019.csv,-1,-1,-1,-1,12
