"Year","OrganisationId","OrganistationShortName","OrganisationName","ConectionByAmount","SanctionedCompanies","Process","Description","CompletedInfo","ConcentrationOfSuppliers","AccumulationOfSuppliersByOrganisation","QuantityOfPurchasesByException","PerformanceIndex","QuantityOfPurchases"
2016,98,"Int. Montevideo","Gobiernos Departamentales",0.001,0.243,0.977,0.051,0.189,0.146,0.111,0.131,1.85,5776
2017,1,"P. Legislativo","Poder Legislativo",0.036,0.034,0.995,0,0.898,0.716,0.185,0.006,2.87,741
2017,10,"MTOP","Poder Ejecutivo",0.106,0.205,0.975,0.02,0.843,0.549,0.103,0.35,3.15,3441
2017,11,"MEC","Poder Ejecutivo",0.012,0.162,0.929,0.032,0.6,0.494,0.079,0.302,2.61,3357
2017,12,"MSP","Poder Ejecutivo",0,0.29,0.956,0.247,0.641,0.718,0.5,0.544,3.9,1846
2017,13,"MTSS","Poder Ejecutivo",0.001,0.148,0.943,0.045,0.599,0.818,0.204,0.191,2.95,276
2017,14,"MVOTMA","Poder Ejecutivo",0.067,0.209,0.92,0.008,0.489,0.759,0.384,0.092,2.93,400
2017,15,"MIDES","Poder Ejecutivo",0.199,0.118,0.923,0.031,0.688,0.65,0.179,0.488,3.28,616
2017,16,"P. Judicial","Poder Judicial",0.028,0.057,0.568,0.035,0.734,0.379,0.081,0.45,2.33,267
2017,17,"TC","Organismos con Autonomia Funcional",0,0.171,1,0,0.079,0.934,0.714,0,2.9,33
2017,2,"Presidencia","Poder Ejecutivo",0.058,0.077,0.959,0.015,0.823,0.625,0.075,0.224,2.86,1640
2017,24,"NA","NA",0.373,0.029,0.74,0.084,0.817,0.555,0.357,0.708,3.66,341
2017,25,"ANEP","Entes Autonomos",0.001,0.176,0.926,0.065,0.571,0.548,0.173,0.201,2.66,2077
2017,26,"UDELAR","Entes Autonomos",0.096,0.192,0.958,0.062,0.37,0.571,0.137,0.244,2.63,688
2017,27,"INAU","Servicios Descentralizados",0,0.235,0.957,0.02,0.534,0.705,0.668,0.029,3.15,560
2017,28,"BPS","Entes Autonomos",0,0.23,0.889,0.039,0.287,0.802,0.236,0.234,2.72,303
2017,29,"ASSE","Servicios Descentralizados",0.002,0.281,0.985,0.03,0.436,0.454,0.538,0.038,2.76,6281
2017,3,"MDN","Poder Ejecutivo",0.002,0.287,0.944,0.045,0.459,0.524,0.086,0.165,2.51,2958
2017,31,"UTEC","Entes Autonomos",0,0.037,0.988,0.122,0.683,0.719,0.169,0.026,2.74,78
2017,32,"INUMET","Servicios Descentralizados",0.056,0.063,0.972,0.017,0.861,0.884,0.166,0.292,3.31,306
2017,33,"FGN","Servicios Descentralizados",0.023,0.132,0.981,0.102,0.476,0.665,0.181,0.317,2.88,455
2017,34,"JUTEP","Servicios Descentralizados",0,0.114,0.949,0.013,0.658,0.768,0.2,0.25,2.95,57
2017,4,"MI","Poder Ejecutivo",0.023,0.165,0.987,0.009,0.82,0.317,0.189,0.358,2.87,9831
2017,5,"MEF","Poder Ejecutivo",0.038,0.125,0.924,0.052,0.768,0.52,0.079,0.239,2.75,1780
2017,50,"BCU","Entes Autonomos",0,0.011,0.922,0.022,0.944,0.395,0.371,0.35,3.02,61
2017,51,"BROU","Entes Autonomos",0.014,0.055,0.981,0.002,0.99,0.146,0.076,0.425,2.69,3286
2017,52,"BHU","Entes Autonomos",0,0.333,0.982,0,0.27,0.653,0.624,0.003,2.87,28
2017,53,"BSE","Entes Autonomos",0.16,0.101,1,0.001,0.999,0.019,0.059,0,2.34,3231
2017,6,"MRREE","Poder Ejecutivo",0.004,0.039,0.984,0.03,0.901,0.637,0.288,0.235,3.12,667
2017,61,"UTE","Entes Autonomos",0.017,0.113,0.989,0.026,0.336,0.014,0.083,0.001,1.58,814
2017,62,"AFE","Entes Autonomos",0,0,1,0,0,1,0.308,0,2.31,5
2017,64,"ANP","Servicios Descentralizados",0.028,0.091,0.957,0.047,0.996,0.003,0.15,0.373,2.64,1396
2017,66,"OSE","Servicios Descentralizados",0.007,0.027,0.935,0.029,0.639,0.015,0.098,0.146,1.9,1405
2017,67,"CORREO","Servicios Descentralizados",0.006,0.1,0.997,0.001,0.928,0.475,0.136,0.105,2.75,2980
2017,68,"ANV","Servicios Descentralizados",0,0,1,0,0,1,1,0,3,1
2017,7,"MGAP","Poder Ejecutivo",0.005,0.077,0.97,0.008,0.846,0.585,0.219,0.417,3.13,3272
2017,70,"INC","Entes Autonomos",0,0.065,1,0,0.71,0.593,0.302,0,2.67,29
2017,8,"MIEM","Poder Ejecutivo",0.001,0.143,0.982,0.011,0.666,0.585,0.172,0.136,2.7,914
2017,80,"Int. Artigas","Gobiernos Departamentales",0,0.164,1,0.009,0.199,0.783,0.296,0,2.45,46
2017,81,"Int. Canelones","Gobiernos Departamentales",0.003,0.118,0.961,0.244,0.775,0.004,0.145,0.108,2.36,362
2017,82,"Int. Cerro Largo","Gobiernos Departamentales",0,0,1,0,0,1,1,0,3,1
2017,83,"Int. Colonia","Gobiernos Departamentales",0,0.132,0.985,0.223,0.509,0.802,0.31,0.006,2.97,146
2017,84,"Int. Durazno","Gobiernos Departamentales",0,0,1,0,0.037,0.789,0.465,0,2.29,9
2017,85,"Int. Flores","Gobiernos Departamentales",0,0.21,1,0,0.049,0.857,0.532,0,2.65,30
2017,86,"Int. Florida","Gobiernos Departamentales",0,0,1,0.021,0.66,0.583,0.561,0,2.83,50
2017,88,"Int. Maldonado","Gobiernos Departamentales",0.065,0.053,1,0,0.794,0.473,0.118,0,2.5,295
2017,89,"Int. Paysandu","Gobiernos Departamentales",0,0.109,1,0.012,0.234,0.692,0.114,0,2.16,180
2017,9,"MT","Poder Ejecutivo",0.01,0.084,0.792,0.005,0.881,0.515,0.137,0.69,3.11,551
2017,90,"Int. Rio Negro","Gobiernos Departamentales",0,0.067,1,0.033,0.4,0.704,0.296,0,2.5,19
2017,91,"Int. Rivera","Gobiernos Departamentales",0,0,0.983,0.233,0.633,0.909,0.301,0.01,3.07,37
2017,93,"Int. Salto","Gobiernos Departamentales",0,0.046,0.992,0.145,0.206,0.867,0.294,0.03,2.58,46
